total_score,game_duration,p_green_bands,aver_time,green_steps_min,band_gain_min,n_stars,points_per_star,n_hh_average,n_overkill_average,condition,n_game,subject
3934,9.15,90.91,14.2,30.85,21.97,20,196.7,0.6,0.95,im,3,22ES
3801,9.75,94.69,17.7,24.58,14.92,20,190.05,0.95,1.55,qm,1,22ES
3262,8.3,93.91,12.7,35.67,22.68,20,163.1,0.3,1.7,qm,2,22ES
4209,10.8,94.44,21.35,20.8,14.19,20,210.45,1.45,1.35,qm,3,22ES
2416,6.72,76.11,12.6,27.38,11.9,20,120.8,0.45,0.4,im,1,23MM
2302,5.62,71.17,9.2,36.85,16.3,20,115.1,0.05,0.25,im,2,23MM
1895,6.8,74.31,12.3,28.05,11.71,20,94.75,0.4,0.65,im,3,23MM
2167,5.32,72.41,8.95,38.55,17.09,20,108.35,0.0,0.15,qm,1,23MM
1557,6.0,61.61,10.05,28.96,5.07,20,77.85,0.15,0.25,qm,2,23MM
3608,5.37,84.26,9.3,41.29,25.16,20,180.4,0.05,0.5,qm,3,23MM
-543,4.17,28.07,12.4,14.03,-16.45,10,-54.3,0.4,0.5,im,1,24EK
-345,3.28,32.14,10.1,20.79,-13.66,10,-34.5,0.1,0.8,im,2,24EK
-816,5.83,35.96,11.7,18.72,-12.31,20,-40.8,0.25,1.05,im,3,24EK
2679,10.4,80.53,21.25,20.19,12.0,20,133.95,1.4,1.4,qm,1,24EK
2651,7.4,74.11,15.15,24.75,11.68,20,132.55,0.7,1.0,qm,2,24EK
3203,6.68,83.93,13.3,30.9,19.85,20,160.15,0.5,0.75,qm,3,24EK
2363,5.9,71.68,11.75,29.62,11.49,20,118.15,0.3,0.7,im,1,25PP
2139,7.72,66.96,10.65,30.99,10.99,20,106.95,0.2,0.45,im,2,25PP
3360,6.97,80.7,12.25,31.84,17.39,20,168.0,0.35,0.85,im,3,25PP
3050,7.65,85.85,15.45,25.24,13.79,20,152.5,0.75,1.3,qm,1,25PP
4062,6.33,88.29,13.0,32.77,22.15,20,203.1,0.45,0.9,qm,2,25PP
3074,5.92,81.98,11.3,35.31,21.24,20,153.7,0.25,0.75,qm,3,25PP
