A,A_motor,proba_mean,latency_motor,latency_stop_forward,latency_stop_backward,stop_shift,stop_shift2,max_dur,n_onset,n_star,mode,game,subject
0.9,0.93,0.89,-100.0,500.0,500.0,-500.0,-100.0,6000.0,2.0,14,qm,1,02ES
0.74,0.76,0.74,-500.0,500.0,500.0,-500.0,-200.0,3100.0,5.0,15,qm,1,02ES
0.9,0.98,0.94,-200.0,800.0,0.0,0.0,800.0,7500.0,3.0,16,qm,1,02ES
0.7,0.8,0.73,-500.0,500.0,600.0,500.0,-500.0,5000.0,3.0,17,qm,1,02ES
0.72,0.88,0.86,1500.0,500.0,500.0,-500.0,-500.0,4400.0,3.0,18,qm,1,02ES
0.75,0.94,0.88,1990.0,500.0,500.0,-500.0,-500.0,3900.0,2.0,19,qm,1,02ES
0.31,0.48,0.49,3690.0,0.0,3000.0,0.0,-1000.0,2500.0,2.0,0,qm,2,02ES
0.81,0.9,0.83,-500.0,1000.0,6000.0,1000.0,1000.0,5500.0,3.0,1,qm,2,02ES
0.92,1.0,0.91,-500.0,500.0,500.0,-500.0,-500.0,7400.0,1.0,2,qm,2,02ES
0.76,0.77,0.69,500.0,500.0,500.0,-500.0,-400.0,3600.0,4.0,3,qm,2,02ES
0.89,0.88,0.72,-400.0,600.0,0.0,0.0,600.0,6100.0,2.0,4,qm,2,02ES
0.56,0.44,0.42,-200.0,800.0,1100.0,800.0,800.0,2300.0,6.0,5,qm,2,02ES
0.93,1.0,0.9,600.0,500.0,0.0,0.0,200.0,7400.0,1.0,6,qm,2,02ES
0.82,0.92,0.73,-100.0,500.0,500.0,-500.0,-500.0,5900.0,2.0,7,qm,2,02ES
0.6,0.48,0.49,700.0,500.0,2800.0,500.0,100.0,2300.0,5.0,8,qm,2,02ES
0.78,0.83,0.76,-300.0,600.0,500.0,-500.0,-500.0,3900.0,3.0,9,qm,2,02ES
0.95,1.0,0.89,-100.0,500.0,0.0,0.0,400.0,7300.0,2.0,10,qm,2,02ES
0.98,0.98,0.87,-500.0,500.0,0.0,0.0,200.0,8000.0,1.0,11,qm,2,02ES
0.96,1.0,0.92,-500.0,500.0,500.0,-500.0,0.0,6800.0,2.0,12,qm,2,02ES
0.98,1.0,0.94,100.0,500.0,0.0,0.0,500.0,8000.0,1.0,13,qm,2,02ES
0.82,0.88,0.81,1000.0,700.0,6200.0,700.0,700.0,3500.0,3.0,14,qm,2,02ES
0.93,0.94,0.85,0.0,500.0,1700.0,500.0,500.0,5400.0,3.0,15,qm,2,02ES
0.82,0.86,0.83,1090.0,500.0,500.0,-500.0,-100.0,4700.0,3.0,16,qm,2,02ES
0.95,1.0,0.95,1290.0,500.0,500.0,-500.0,0.0,6600.0,1.0,17,qm,2,02ES
0.87,0.84,0.82,1090.0,500.0,5500.0,500.0,500.0,4900.0,2.0,18,qm,2,02ES
0.9,1.0,0.92,-300.0,500.0,500.0,-500.0,-500.0,6300.0,2.0,19,qm,2,02ES
0.68,1.0,0.81,500.0,0.0,0.0,0.0,-1000.0,7600.0,1.0,0,qm,3,02ES
0.8,0.94,0.85,1690.0,1400.0,500.0,-500.0,-200.0,6000.0,2.0,1,qm,3,02ES
0.92,1.0,0.89,-500.0,1100.0,0.0,0.0,1100.0,8000.0,1.0,2,qm,3,02ES
0.78,0.92,0.8,-400.0,1300.0,7100.0,1300.0,1300.0,6600.0,2.0,3,qm,3,02ES
0.96,0.95,0.81,-400.0,500.0,0.0,0.0,300.0,4400.0,3.0,4,qm,3,02ES
0.98,1.0,0.9,-100.0,500.0,0.0,0.0,300.0,6900.0,2.0,5,qm,3,02ES
0.6,0.62,0.63,-400.0,500.0,500.0,-500.0,-500.0,3300.0,6.0,6,qm,3,02ES
0.96,1.0,0.93,500.0,500.0,500.0,-500.0,0.0,7500.0,1.0,7,qm,3,02ES
0.89,0.96,0.86,190.0,500.0,500.0,-500.0,-400.0,6400.0,2.0,8,qm,3,02ES
0.84,0.94,0.83,0.0,500.0,500.0,-500.0,-500.0,5900.0,2.0,9,qm,3,02ES
0.96,1.0,0.95,-500.0,500.0,0.0,0.0,100.0,6900.0,2.0,10,qm,3,02ES
0.89,1.0,0.91,-300.0,500.0,500.0,-500.0,-500.0,6300.0,2.0,11,qm,3,02ES
0.94,1.0,0.91,1290.0,500.0,0.0,0.0,100.0,6600.0,1.0,12,qm,3,02ES
0.31,0.32,0.38,2600.0,500.0,500.0,-500.0,-500.0,800.0,4.0,13,qm,3,02ES
0.88,0.98,0.9,-500.0,500.0,500.0,-500.0,-500.0,6200.0,2.0,14,qm,3,02ES
0.68,0.76,0.89,1990.0,500.0,500.0,-500.0,-500.0,4000.0,2.0,15,qm,3,02ES
0.48,0.38,0.4,5590.0,500.0,3000.0,500.0,200.0,2500.0,2.0,16,qm,3,02ES
0.13,0.03,0.12,-1000.0,500.0,500.0,-500.0,-500.0,200.0,1.0,17,qm,3,02ES
0.31,0.23,0.26,500.0,500.0,500.0,-500.0,-500.0,1300.0,2.0,18,qm,3,02ES
0.62,0.68,0.57,-400.0,2500.0,2500.0,-2500.0,2500.0,3000.0,5.0,19,qm,3,02ES
0.63,0.93,0.85,-200.0,0.0,3900.0,0.0,-1000.0,3900.0,4.0,0,im,1,03AC
0.65,0.97,0.84,1000.0,2500.0,600.0,-600.0,-500.0,5800.0,3.0,1,im,1,03AC
0.61,0.74,0.67,2490.0,500.0,500.0,-500.0,-300.0,2400.0,3.0,2,im,1,03AC
0.74,0.87,0.77,2100.0,500.0,6500.0,500.0,100.0,6000.0,1.0,3,im,1,03AC
0.88,0.95,0.9,-300.0,600.0,0.0,0.0,400.0,6100.0,5.0,4,im,1,03AC
0.69,0.85,0.79,1200.0,500.0,500.0,-500.0,-500.0,5500.0,1.0,5,im,1,03AC
0.88,0.9,0.8,600.0,500.0,0.0,0.0,100.0,7400.0,1.0,6,im,1,03AC
0.7,0.72,0.64,600.0,500.0,500.0,-500.0,-200.0,3100.0,6.0,7,im,1,03AC
0.77,0.93,0.78,1700.0,500.0,500.0,-500.0,-400.0,5900.0,1.0,8,im,1,03AC
0.54,0.82,0.8,2990.0,3500.0,5600.0,3500.0,3500.0,5100.0,1.0,9,im,1,03AC
0.79,0.83,0.72,300.0,600.0,1600.0,600.0,600.0,5100.0,3.0,10,im,1,03AC
0.66,0.78,0.73,290.0,900.0,500.0,-500.0,-500.0,3800.0,4.0,11,im,1,03AC
0.87,0.88,0.77,400.0,600.0,2300.0,600.0,600.0,5600.0,2.0,12,im,1,03AC
0.51,0.72,0.65,1600.0,1500.0,700.0,-700.0,-500.0,4500.0,3.0,13,im,1,03AC
0.69,0.88,0.83,1090.0,1500.0,5900.0,1500.0,1500.0,5400.0,2.0,14,im,1,03AC
