index,event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,gaze_path
662,activate_star,94218,1360,907,419801087,-,0,810,90100,im,3,01TG,im_log_game_3,19,blast,7,0.0,35.85,1325.85,915.45,58.16,59.93,59.045,29.5,29.5,29.5,29.5,41.71930009000631,1322.0,911.0,11.53,1435.77
677,activate_star,108619,615,561,419815558,-,0,1014,104501,im,3,01TG,im_log_game_3,2,blast,8,0.0,30.89,598.3,584.4,73.11,98.43,85.77000000000001,35.2,53.3,44.25,53.3,63.87432974208027,587.85,567.8,20.36,1476.3
691,activate_star,122985,1301,701,419829927,-,0,1138,118867,im,3,01TG,im_log_game_3,17,blast,9,0.0,15.7,1310.4,708.6,74.94,548.86,311.9,38.6,94.9,66.75,94.9,102.4498413859192,1314.1,715.8,9.7,1542.81
705,activate_star,136324,985,905,419843243,-,0,1329,132206,im,3,01TG,im_log_game_3,9,blast,10,0.0,12.12,993.8,909.8,19.26,87.84,53.550000000000004,16.6,36.9,26.75,36.9,40.461957441527716,993.1,911.7,7.85,1369.57
718,activate_star,149065,602,314,419856008,-,0,1427,144947,im,3,01TG,im_log_game_3,1,blast,11,0.0,22.22,590.5,331.0,22.44,263.43,142.935,25.4,68.9,47.150000000000006,68.9,73.43275835756138,591.0,320.9,12.52,1657.54
732,activate_star,162781,836,141,419869670,-,0,1580,158663,im,3,01TG,im_log_game_3,7,blast,12,0.0,36.41,819.4,173.9,168.84,43.2,106.02000000000001,61.6,36.4,49.0,61.6,71.55082109941158,825.35,177.55,10.02,1762.48
750,activate_star,4663,887,327,419890242,-,0,1725,176812,im,3,01TG,im_log_game_3,8,blast,13,0.0,54.62,848.05,303.2,191.75,651.37,421.56,51.1,89.8,70.45,89.8,103.3211014265721,854.85,281.0,29.6,1200.72
763,activate_star,18095,673,671,419903524,-,0,1678,190244,im,3,01TG,im_log_game_3,4,blast,14,0.0,24.21,657.9,660.7,3213.84,574.06,1893.95,331.1,125.0,228.05,331.1,353.90988966119613,669.8,661.15,19.79,1673.69
777,activate_star,32436,1270,386,419917954,-,0,1986,204585,im,3,01TG,im_log_game_3,14,blast,15,0.0,7.97,1271.3,389.7,48.9,10.09,29.494999999999997,27.4,14.0,20.7,27.4,30.769465383720917,1257.55,379.6,17.09,1190.04
790,activate_star,45764,801,894,419931277,-,0,2210,217913,im,3,01TG,im_log_game_3,6,blast,16,0.0,36.91,769.1,879.1,59.97,16.29,38.129999999999995,24.1,17.0,20.55,24.1,29.492541429995484,778.0,876.9,11.01,1217.33
804,activate_star,60179,1039,718,419945721,-,0,2479,232328,im,3,01TG,im_log_game_3,11,blast,17,0.0,29.8,1032.3,690.7,355.91,97.25,226.58,72.0,44.7,58.35,72.0,84.74721234353376,1034.1,690.6,7.56,1883.54
818,activate_star,73512,1343,888,419959093,-,0,2616,245661,im,3,01TG,im_log_game_3,18,holiday_home,18,0.0,42.42,1305.0,867.2,26.78,47.58,37.18,21.3,22.6,21.950000000000003,22.6,31.055595309058237,1307.2,863.4,9.75,1222.29
822,activate_star,84099,1066,225,419969625,-,0,2616,256248,im,3,01TG,im_log_game_3,13,blast,19,0.0,26.53,1060.3,248.3,234.49,101.74,168.115,59.1,41.4,50.25,59.1,72.15795174476615,1069.7,246.2,11.96,1504.92
835,activate_star,97980,1272,163,419983532,-,0,2654,270129,im,3,01TG,im_log_game_3,15,blast,20,0.0,18.45,1269.1,180.2,130.35,143.83,137.09,72.3,71.6,71.94999999999999,72.3,101.75386970528442,1276.7,183.0,10.62,1439.93
848,activate_star,111698,686,358,419997255,-,0,2925,283847,im,3,01TG,im_log_game_3,5,blast,21,0.0,12.26,677.9,362.35,89.35,53.67,71.50999999999999,61.9,44.2,53.05,61.9,76.06083091841687,681.2,363.2,5.81,1649.87
861,activate_star,125021,597,897,420010533,-,0,2892,297170,im,3,01TG,im_log_game_3,0,blast,22,0.0,42.95,569.5,865.7,197.19,74.53,135.86,48.7,33.3,41.0,48.7,58.99644057059714,583.3,868.5,19.85,1859.61
875,activate_star,138979,1343,888,420024544,-,0,2964,311128,im,3,01TG,im_log_game_3,18,holiday_home,23,0.0,32.53,1313.2,901.8,44.52,130.33,87.42500000000001,27.1,56.1,41.6,56.1,62.30264841882727,1324.3,897.4,12.44,1357.2
895,activate_star,5439,1031,328,414605599,-,0,0,2348,qm,1,01TG,qm_log_game_1,12,blast,1,0.0,44.27,999.0,298.7,93.31,227.13,160.22,40.9,60.8,50.849999999999994,60.8,73.27653103142916,999.0,301.7,7.3,964.48
911,activate_star,20878,634,366,414621042,-,0,229,17787,qm,1,01TG,qm_log_game_1,2,holiday_home,2,0.0,31.18,623.1,336.7,531.43,60.15,295.78999999999996,84.3,33.0,58.65,84.3,90.52894564723483,614.8,332.4,12.32,958.03
915,activate_star,31277,1235,337,414631426,-,0,229,28186,qm,1,01TG,qm_log_game_1,19,blast,3,0.0,42.33,1210.6,314.2,1109.81,178.71,644.26,111.9,56.8,84.35,111.9,125.49043788273272,1219.85,303.85,25.54,1387.61
931,activate_star,48624,903,794,414648794,-,0,406,45533,qm,1,01TG,qm_log_game_1,9,holiday_home,4,0.0,59.91,862.7,748.3,304.37,86.08,195.225,70.2,41.5,55.85,70.2,81.54931023620004,856.1,742.1,11.0,999.89
935,activate_star,58633,1176,537,414658810,-,0,406,55542,qm,1,01TG,qm_log_game_1,17,blast,5,0.0,43.36,1141.8,513.5,6.81,173.54,90.175,9.8,39.7,24.75,39.7,40.89168619658524,1137.9,491.1,23.19,978.92
950,activate_star,73963,1144,823,414674164,-,0,605,70872,qm,1,01TG,qm_log_game_1,15,blast,6,0.0,64.56,1096.6,777.1,14.7,45.15,29.924999999999997,19.4,25.4,22.4,25.4,31.96122650963195,1101.45,784.2,9.08,971.13
965,activate_star,89298,903,794,414689441,-,0,808,86207,qm,1,01TG,qm_log_game_1,9,blast,7,0.0,49.78,868.3,758.3,10.58,11.33,10.955,14.3,15.2,14.75,15.2,20.86935552430884,868.4,755.1,5.2,978.77
979,activate_star,103676,586,831,414703812,-,0,965,100585,qm,1,01TG,qm_log_game_1,0,holiday_home,8,0.0,20.82,583.15,812.2,278.7,94.72,186.70999999999998,67.8,35.4,51.599999999999994,67.8,76.48529270389177,569.2,811.25,15.3,1185.42
991,activate_star,135072,1146,146,414735201,-,0,965,131981,qm,1,01TG,qm_log_game_1,16,holiday_home,9,0.0,21.94,1127.5,138.4,356.55,24.67,190.61,158.1,42.9,100.5,158.1,163.81703208152686,1132.6,134.6,10.17,1069.18
995,activate_star,146794,769,156,414747001,-,0,965,143703,qm,1,01TG,qm_log_game_1,6,blast,10,0.0,19.51,763.9,141.5,31.22,188.05,109.635,23.4,61.4,42.4,61.4,65.70783819301926,759.2,141.7,8.07,833.96
1010,activate_star,161278,634,366,414761485,-,0,1175,158187,qm,1,01TG,qm_log_game_1,2,holiday_home,11,0.0,29.17,624.4,338.5,117.34,75.13,96.235,45.9,26.7,36.3,45.9,53.10084745086466,625.8,336.0,11.09,900.9
1014,activate_star,171756,694,572,414771916,-,0,1175,168665,qm,1,01TG,qm_log_game_1,5,holiday_home,12,0.0,43.52,663.8,536.0,49.8,76.46,63.129999999999995,25.9,27.2,26.549999999999997,27.2,37.55862084794914,666.0,536.1,9.87,1246.66
1018,activate_star,181760,1146,146,414781909,-,0,1175,178669,qm,1,01TG,qm_log_game_1,16,holiday_home,13,0.0,23.05,1128.8,131.2,20.82,14.47,17.645,21.0,14.6,17.8,21.0,25.57655176133014,1137.4,127.4,12.18,894.26
1022,activate_star,191770,586,831,414791916,-,0,1175,188679,qm,1,01TG,qm_log_game_1,0,blast,14,0.0,42.1,589.9,790.2,126.76,70.41,98.58500000000001,45.6,29.6,37.6,45.6,54.364694425702424,618.0,799.75,31.22,902.23
1036,activate_star,205101,694,572,414805246,-,0,1453,202010,qm,1,01TG,qm_log_game_1,5,blast,15,0.0,27.68,671.4,557.95,44.05,13.25,28.65,24.6,14.9,19.75,24.6,28.760563276820573,664.55,558.7,8.37,814.78
1051,activate_star,220433,634,366,414820588,-,0,1544,217342,qm,1,01TG,qm_log_game_1,2,holiday_home,16,0.0,19.74,614.9,361.1,61.18,4.11,32.645,29.5,9.7,19.6,29.5,31.05382424114621,635.8,350.75,23.83,847.3
