index,event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,gaze_path
9989,activate_star,5627,572,410,94377939,-,0,2393,284933,im,1,07TS,im_log_game_1,0,blast,11,0.0,54.28,612.1,445.6,137.89,171.28,154.58499999999998,41.7,64.3,53.0,64.3,76.63798014039776,614.6,466.7,25.18,2111.38
10002,activate_star,19224,789,457,94391539,-,0,2668,298530,im,1,07TS,im_log_game_1,6,holiday_home,12,0.0,62.46,826.8,505.7,55.8,1215.62,635.7099999999999,38.6,483.0,260.8,483.0,484.53994675361906,825.2,519.15,16.07,5402.81
10019,activate_star,42944,1010,440,94415258,-,0,2882,322250,im,1,07TS,im_log_game_1,10,holiday_home,13,0.0,72.67,1052.6,498.3,203.75,28.58,116.16499999999999,57.7,28.2,42.95,57.7,64.22250384405766,1058.7,504.2,16.28,1823.73
10040,activate_star,77505,1221,649,94449818,-,0,3094,356811,im,1,07TS,im_log_game_1,16,blast,14,0.0,77.95,1279.1,699.7,128.45,105.86,117.155,46.4,55.1,50.75,55.1,72.03450562057049,1275.1,708.8,14.64,1643.42
10054,activate_star,91943,1287,394,94464257,-,0,3330,371249,im,1,07TS,im_log_game_1,17,blast,15,0.0,77.37,1293.5,470.9,44.63,137.86,91.245,24.5,44.1,34.3,44.1,50.448587690836305,1296.85,442.45,29.19,2042.07
10069,activate_star,107145,1156,197,94479459,-,0,3555,386451,im,1,07TS,im_log_game_1,14,blast,16,0.0,89.19,1204.5,269.7,74.16,96.04,85.1,31.9,39.2,35.55,39.2,50.53958844312051,1200.05,268.4,13.72,1846.08
10082,activate_star,119591,820,220,94491898,-,0,3630,398897,im,1,07TS,im_log_game_1,7,holiday_home,17,0.0,61.26,854.5,267.9,214.92,72.65,143.785,70.0,39.3,54.65,70.0,80.27758093017003,873.5,273.0,20.67,2231.44
10134,activate_star,192347,739,694,94564658,-,0,3883,471653,im,1,07TS,im_log_game_1,4,holiday_home,18,0.0,35.31,772.7,699.3,88.74,96.96,92.85,40.4,47.6,44.0,47.6,62.433324434952205,789.2,701.9,20.21,1534.34
10152,activate_star,216705,1087,815,94589017,-,0,4104,496011,im,1,07TS,im_log_game_1,12,blast,19,0.0,73.93,1135.85,866.9,74.03,191.19,132.61,31.1,42.1,36.6,42.1,52.34137942393188,1132.8,878.6,16.9,1481.92
10165,activate_star,230662,704,922,94602978,-,0,4078,509968,im,1,07TS,im_log_game_1,2,holiday_home,20,0.0,35.65,731.7,896.4,211.14,191.32,201.23,60.5,59.0,59.75,60.5,84.50591695260161,741.7,904.4,18.72,1887.25
10188,activate_star,5084,859,627,94880343,-,0,0,2008,im,2,07TS,im_log_game_2,7,holiday_home,1,,,,,,,,,,,,,,,,
10205,activate_star,28749,643,760,94904023,-,0,120,25673,im,2,07TS,im_log_game_2,2,blast,2,0.0,50.6,693.5,761.2,52.98,14.48,33.73,29.0,17.2,23.1,29.0,33.71705799739947,692.8,752.9,11.54,1524.59
10218,activate_star,42085,841,857,94917343,-,0,238,39009,im,2,07TS,im_log_game_2,5,holiday_home,3,0.0,28.53,865.8,852.0,103.67,124.99,114.33,33.3,36.9,35.099999999999994,36.9,49.704124577342675,884.1,846.1,19.12,1687.33
10235,activate_star,65902,1069,883,94941183,-,0,463,62826,im,2,07TS,im_log_game_2,12,blast,4,0.0,44.04,1095.2,917.9,78.94,104.08,91.50999999999999,38.6,43.3,40.95,43.3,58.00732712339019,1117.6,889.7,38.23,1595.44
10248,activate_star,79242,1265,803,94954503,-,0,615,76166,im,2,07TS,im_log_game_2,16,blast,5,0.0,67.42,1304.8,853.3,131.73,102.51,117.12,42.4,38.9,40.65,42.4,57.54102884029795,1334.5,821.7,41.97,1616.59
10261,activate_star,92570,1310,489,94967863,-,0,832,89494,im,2,07TS,im_log_game_2,18,holiday_home,6,0.0,75.6,1338.9,556.6,117.71,178.81,148.26,42.1,50.1,46.1,50.1,65.44020171118056,1325.1,551.55,21.37,1798.66
10280,activate_star,118937,1111,440,94994223,-,0,943,115861,im,2,07TS,im_log_game_2,13,blast,7,0.0,57.5,1120.2,495.2,41.66,301.4,171.52999999999997,28.9,61.3,45.099999999999994,61.3,67.77093772407166,1140.9,511.2,31.98,1969.13
10294,activate_star,132264,677,294,95007543,-,0,948,129188,im,2,07TS,im_log_game_2,3,holiday_home,8,0.0,74.18,741.3,326.4,38.24,220.38,129.31,29.1,58.1,43.6,58.1,64.98015081546056,769.1,337.9,30.65,1981.12
10326,activate_star,167577,982,206,95042863,-,0,1113,164501,im,2,07TS,im_log_game_2,9,blast,9,0.0,80.26,1014.8,279.4,44.25,66.89,55.57,25.6,33.1,29.35,33.1,41.84459343810142,1008.15,268.7,14.94,2045.04
10339,activate_star,181332,1298,215,95056622,-,0,1218,178256,im,2,07TS,im_log_game_2,17,blast,10,0.0,72.54,1349.9,263.4,549.77,63.79,306.78,86.3,36.3,61.3,86.3,93.62360813384623,1346.0,276.1,17.65,2121.51
10354,activate_star,5500,989,534,95072984,-,0,1269,191453,im,2,07TS,im_log_game_2,10,holiday_home,11,0.0,65.39,1026.2,587.6,245.07,112.35,178.70999999999998,62.2,45.1,53.650000000000006,62.2,76.83000715866164,1043.3,578.6,23.8,1763.65
10393,activate_star,81664,846,744,95149142,-,0,1492,267617,im,2,07TS,im_log_game_2,6,blast,12,0.0,47.62,891.4,754.3,83.31,49.96,66.635,41.6,29.0,35.3,41.6,50.710551170343244,890.5,749.7,11.24,1724.88
10407,activate_star,96379,580,653,95163824,-,0,1550,282332,im,2,07TS,im_log_game_2,0,blast,13,0.0,39.66,614.7,667.5,55.44,169.2,112.32,35.9,48.8,42.349999999999994,48.8,60.582588257683405,621.5,645.95,24.82,2064.99
10421,activate_star,110502,1001,918,95177981,-,0,1742,296455,im,2,07TS,im_log_game_2,11,holiday_home,14,0.0,47.2,1045.7,931.3,106.17,138.93,122.55000000000001,55.0,52.3,53.65,55.0,75.89657436274709,1037.7,936.2,12.39,1491.73
10446,activate_star,153464,1243,755,95220941,-,0,2004,339417,im,2,07TS,im_log_game_2,15,blast,15,0.0,42.71,1276.9,777.7,55.7,313.76,184.73,39.2,69.1,54.15,69.1,79.44463480940674,1276.7,773.0,16.34,2118.45
10459,activate_star,166897,1345,530,95234381,-,0,2269,352850,im,2,07TS,im_log_game_2,19,holiday_home,16,0.1,58.65,1382.4,571.5,111.03,494.42,302.725,36.1,80.9,58.5,80.9,88.58905124223874,1376.5,572.9,16.52,
10514,activate_star,275979,761,413,95343462,-,0,2032,461932,im,2,07TS,im_log_game_2,4,blast,17,0.0,29.15,777.7,432.4,178.27,558.73,368.5,50.6,108.9,79.75,108.9,120.08151398112868,757.4,441.0,21.83,2033.52
10527,activate_star,289543,958,319,95357022,-,0,2265,475496,im,2,07TS,im_log_game_2,8,holiday_home,18,0.0,55.01,1010.4,331.6,126.62,121.92,124.27000000000001,62.9,41.0,51.95,62.9,75.0826877515716,1024.3,348.0,23.02,1787.65
10545,activate_star,331021,1178,322,95398501,-,0,2265,516974,im,2,07TS,im_log_game_2,14,holiday_home,19,0.0,29.79,1195.5,343.3,93.25,241.48,167.365,37.5,56.6,47.05,56.6,67.89558159409196,1188.0,353.6,21.92,2026.58
10549,activate_star,341417,958,319,95408901,-,0,2265,527370,im,2,07TS,im_log_game_2,8,blast,20,0.0,26.37,974.9,337.7,197.49,35.44,116.465,46.6,28.5,37.55,46.6,54.62426200874479,976.2,357.4,23.44,1672.02
10564,activate_star,356578,601,197,95424061,-,0,2373,542531,im,2,07TS,im_log_game_2,1,holiday_home,21,0.0,64.74,663.0,201.2,143.13,328.33,235.73,57.2,83.9,70.55000000000001,83.9,101.54334050049762,669.6,215.3,20.25,2275.17
10591,activate_star,411542,1178,322,95479020,-,0,2385,597495,im,2,07TS,im_log_game_2,14,holiday_home,22,0.0,37.99,1186.4,355.1,247.09,63.75,155.42000000000002,55.7,29.8,42.75,55.7,63.17064191537079,1202.7,346.6,21.15,1797.16
10627,activate_star,7577,859,598,95969670,-,0,0,2012,im,3,07TS,im_log_game_3,6,holiday_home,1,,,,,,,,,,,,,,,,
10653,activate_star,46436,1084,421,96008550,-,0,200,40871,im,3,07TS,im_log_game_3,12,holiday_home,2,0.0,68.41,1126.2,473.5,93.41,95.04,94.225,34.9,39.7,37.3,39.7,52.85924706236365,1117.3,475.0,11.29,1955.08
10672,activate_star,72170,765,371,96034230,-,0,383,66605,im,3,07TS,im_log_game_3,4,holiday_home,3,0.0,44.82,790.6,407.1,172.03,46.19,109.11,52.9,31.6,42.25,52.9,61.61955858329399,783.5,397.2,14.99,2428.6
10721,activate_star,176472,619,202,96138591,-,0,616,170907,im,3,07TS,im_log_game_3,1,holiday_home,4,0.0,48.93,660.8,182.1,87.95,129.49,108.72,39.0,56.9,47.95,56.9,68.98267898538009,663.5,213.5,33.64,2824.41
10740,activate_star,201155,913,159,96163269,-,0,871,195590,im,3,07TS,im_log_game_3,8,blast,5,0.0,89.58,987.5,207.4,47.03,82.61,64.82,29.5,38.0,33.75,38.0,48.106652346634974,978.3,202.6,13.73,2162.46
10754,activate_star,218070,1279,182,96180189,-,0,978,212505,im,3,07TS,im_log_game_3,18,holiday_home,6,0.0,32.37,1288.1,154.9,125.36,102.27,113.815,50.0,43.5,46.75,50.0,66.27405223765935,1310.3,168.6,28.63,3111.29
10772,activate_star,242510,1324,492,96204629,-,0,1228,236945,im,3,07TS,im_log_game_3,19,holiday_home,7,0.0,65.6,1388.8,502.2,53.0,40.6,46.8,28.6,27.9,28.25,28.6,39.954599234631296,1370.0,511.5,20.78,1766.99
10796,activate_star,276874,1194,691,96238989,-,0,1421,271309,im,3,07TS,im_log_game_3,15,holiday_home,8,0.0,69.75,1244.6,735.8,134.9,323.65,229.27499999999998,52.6,84.6,68.6,84.6,99.61887371376972,1245.4,744.2,11.72,1756.88
10814,activate_star,302432,1093,872,96264549,-,0,1609,296867,im,3,07TS,im_log_game_3,13,holiday_home,9,0.0,57.11,1148.6,878.8,210.94,280.8,245.87,61.2,76.3,68.75,76.3,97.81170686579394,1147.8,866.1,20.77,1796.05
10833,activate_star,327311,803,855,96289389,-,0,1641,321746,im,3,07TS,im_log_game_3,5,holiday_home,10,0.0,73.37,869.3,870.6,1246.12,1448.04,1347.08,148.9,160.4,154.65,160.4,218.8592470059239,872.1,888.6,20.8,2377.81
10866,activate_star,19065,707,195,96361668,-,0,1857,378457,im,3,07TS,im_log_game_3,2,holiday_home,11,0.0,23.91,721.3,183.8,133.27,267.88,200.575,42.5,58.0,50.25,58.0,71.90445048813042,724.0,214.3,33.87,2618.39
10896,activate_star,73944,588,626,96416548,-,0,2090,433336,im,3,07TS,im_log_game_3,0,holiday_home,12,0.0,47.94,630.6,635.5,235.32,267.71,251.515,60.8,103.4,82.1,103.4,119.9508232568664,607.6,628.4,30.7,1979.0
10915,activate_star,98588,745,878,96441188,-,0,2171,457980,im,3,07TS,im_log_game_3,3,blast,13,0.0,52.14,792.5,859.2,58.25,146.28,102.265,45.0,45.2,45.1,45.2,63.781188449259865,790.1,867.3,12.25,1993.65
10929,activate_star,113105,885,717,96455708,-,0,2394,472497,im,3,07TS,im_log_game_3,7,holiday_home,14,0.0,54.77,929.4,743.0,113.24,366.87,240.055,44.2,66.6,55.4,66.6,79.93247149938503,920.1,756.2,15.34,1933.43
10947,activate_star,137451,1066,856,96480028,-,0,2348,496843,im,3,07TS,im_log_game_3,11,holiday_home,15,2.902902902902903,34.43,1098.9,858.15,260.72,414.26,337.49,86.7,223.0,154.85,223.0,239.26113349225778,1099.6,844.8,20.19,
10964,activate_star,161621,1220,722,96504228,-,0,2563,521013,im,3,07TS,im_log_game_3,17,holiday_home,16,0.0,67.2,1286.8,724.2,55.79,55.77,55.78,28.7,32.3,30.5,32.3,43.20856396595471,1290.3,716.6,12.8,1710.47
10989,activate_star,205503,1025,561,96548108,-,0,2660,564895,im,3,07TS,im_log_game_3,10,blast,17,0.0,66.12,1077.7,594.9,131.41,140.93,136.17000000000002,51.1,44.2,47.650000000000006,51.1,67.56367367158184,1101.1,585.6,29.71,1684.91
11003,activate_star,220667,1168,417,96563268,-,0,2665,580059,im,3,07TS,im_log_game_3,14,holiday_home,18,0.0,71.35,1228.3,456.6,103.84,151.25,127.545,43.8,43.4,43.599999999999994,43.8,61.66036003787198,1193.3,475.7,44.56,1922.89
11024,activate_star,255987,944,332,96598588,-,0,2748,615379,im,3,07TS,im_log_game_3,9,holiday_home,19,3.6036036036036037,83.08,1017.3,369.9,131.93,542.18,337.05499999999995,52.0,270.4,161.2,270.4,275.3546077333735,1002.2,362.1,22.07,
11046,activate_star,285783,1206,211,96628388,-,0,2790,645175,im,3,07TS,im_log_game_3,16,holiday_home,20,0.0,71.74,1270.0,236.4,165.1,354.94,260.02,64.6,81.1,72.85,81.1,103.68399104972762,1262.2,240.5,21.21,2097.29
11068,activate_star,7258,979,545,88957371,-,0,0,2098,qm,1,07TS,qm_log_game_1,5,holiday_home,1,,,,,,,,,,,,,,,,
11072,activate_star,17696,1196,578,88967811,-,0,0,12536,qm,1,07TS,qm_log_game_1,6,holiday_home,2,,,,,,,,,,,,,,,,
11105,activate_star,81172,979,545,89031290,-,0,385,76012,qm,1,07TS,qm_log_game_1,5,holiday_home,3,0.0,47.37,1021.1,553.9,56.03,151.22,103.625,29.2,41.0,35.1,41.0,50.33527590070407,1024.3,534.7,22.2,993.44
11126,activate_star,115688,751,557,89065810,-,0,679,110528,qm,1,07TS,qm_log_game_1,2,holiday_home,4,0.0,82.02,820.6,599.6,37.78,78.56,58.17,24.3,34.2,29.25,34.2,41.95390327490399,834.6,580.7,23.52,998.62
11147,activate_star,145094,1214,249,89095210,-,0,1025,139934,qm,1,07TS,qm_log_game_1,7,holiday_home,5,0.0,73.9,1258.6,310.1,49.64,56.06,52.85,28.8,29.3,29.05,29.3,41.08442527284518,1255.9,317.1,11.93,1235.96
11188,activate_star,228093,1353,420,89178212,-,0,1230,222933,qm,1,07TS,qm_log_game_1,9,holiday_home,6,0.0,57.99,1400.2,453.3,316.3,376.67,346.485,54.0,58.3,56.15,58.3,79.46628215790643,1376.3,451.0,24.7,1074.66
11205,activate_star,251175,1290,828,89201290,-,0,1446,246015,qm,1,07TS,qm_log_game_1,8,holiday_home,7,0.0,49.79,1339.2,821.0,146.35,97.35,121.85,38.0,34.9,36.45,38.0,51.59467026738324,1341.8,820.6,11.24,961.9
11233,activate_star,298054,963,877,89248170,-,0,1615,292894,qm,1,07TS,qm_log_game_1,4,blast,8,0.0,67.27,1016.4,912.1,116.07,589.89,352.98,37.7,99.6,68.65,99.6,106.49624406522513,1027.3,905.5,24.42,1055.36
