index,event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,gaze_path
6522,activate_star,229249,596,297,836165212,-,0,3405,384975,im,2,04AB,im_log_game_2,1,holiday_home,21,1.6016016016016015,40.69,582.1,260.2,731.95,680.0,705.975,119.0,309.8,214.4,309.8,331.8690103037643,580.9,263.4,8.28,
6545,activate_star,3857,1047,520,836545264,-,0,0,2134,im,3,04AB,im_log_game_3,11,holiday_home,1,,,,,,,,,,,,,,,,
6562,activate_star,27573,850,454,836568983,-,0,334,25850,im,3,04AB,im_log_game_3,6,blast,2,0.0,20.55,832.7,450.4,24.62,81.1,52.86,21.0,30.1,25.55,30.1,36.70163484097132,834.9,442.0,12.82,990.08
6575,activate_star,41011,711,674,836582423,-,0,496,39288,im,3,04AB,im_log_game_3,2,holiday_home,3,0.0,14.22,703.6,683.3,35.6,84.72,60.16,29.5,47.4,38.45,47.4,55.830188966185666,713.4,678.6,14.49,985.36
6592,activate_star,64691,756,872,836606103,-,0,587,62968,im,3,04AB,im_log_game_3,4,holiday_home,4,0.0,54.93,740.1,820.4,21.31,1946.18,983.745,20.7,239.6,130.15,239.6,240.49251547605382,738.3,808.9,19.02,2500.85
6613,activate_star,94490,956,754,836635903,-,0,721,92767,im,3,04AB,im_log_game_3,8,blast,5,0.0,41.5,934.0,740.9,102.02,1257.05,679.535,40.6,113.1,76.85,113.1,120.16642625958383,926.3,693.7,49.76,2202.77
6626,activate_star,108891,1345,904,836650303,-,0,962,107168,im,3,04AB,im_log_game_3,19,blast,6,0.0,61.81,1287.8,880.7,21.48,353.11,187.29500000000002,19.3,58.2,38.75,58.2,61.31663722025206,1293.2,861.8,21.1,1049.96
6639,activate_star,121496,1233,662,836662903,-,0,1166,119773,im,3,04AB,im_log_game_3,15,blast,7,0.0,30.37,1204.4,660.7,50.26,61.55,55.905,28.6,31.3,29.950000000000003,31.3,42.39870281034551,1217.6,644.9,22.68,930.1
6652,activate_star,135534,698,180,836676943,-,0,1255,133811,im,3,04AB,im_log_game_3,0,blast,8,0.0,45.45,682.3,222.3,33.16,10.52,21.839999999999996,26.3,14.2,20.25,26.3,29.888626599427415,686.7,224.7,7.08,892.02
6667,activate_star,150490,1019,232,836691903,-,0,1352,148767,im,3,04AB,im_log_game_3,10,blast,9,0.0,22.1,1001.4,238.0,22.45,146.81,84.63,20.6,55.4,38.0,55.4,59.10600646296449,996.8,262.2,25.21,917.1
6681,activate_star,165568,1251,219,836706982,-,0,1656,163845,im,3,04AB,im_log_game_3,16,holiday_home,10,0.0,35.09,1218.1,231.55,31.83,29.45,30.64,28.1,26.2,27.15,28.1,38.41939614309418,1217.2,231.7,6.67,939.0
6707,activate_star,5776,779,794,836745622,-,0,1851,200246,im,3,04AB,im_log_game_3,5,blast,11,0.0,14.3,779.9,788.6,78.42,92.59,85.505,39.9,36.4,38.15,39.9,54.008980734688926,795.1,795.7,21.8,1770.49
6720,activate_star,19778,911,632,836759622,-,0,2121,214248,im,3,04AB,im_log_game_3,7,holiday_home,12,0.0,37.72,936.4,604.6,16.06,87.55,51.805,17.5,32.9,25.2,32.9,37.26472863177726,939.2,608.1,9.45,1021.57
6724,activate_star,29790,1003,449,836769622,-,0,2121,224260,im,3,04AB,im_log_game_3,9,blast,13,0.0,14.82,996.5,436.7,21.37,13.27,17.32,29.4,16.7,23.049999999999997,29.4,33.811980125393426,1005.2,426.7,13.51,807.08
6737,activate_star,43648,911,632,836783502,-,0,2293,238118,im,3,04AB,im_log_game_3,7,holiday_home,14,0.0,15.43,919.5,627.6,47.1,218.73,132.915,30.4,40.5,35.45,40.5,50.64000394944692,926.2,657.5,32.0,966.16
6741,activate_star,53660,1054,786,836793502,-,0,2293,248130,im,3,04AB,im_log_game_3,12,holiday_home,15,0.0,27.02,1064.2,763.3,47.72,86.86,67.28999999999999,26.9,31.7,29.299999999999997,31.7,41.57523301197481,1047.6,767.9,20.87,1343.37
6760,activate_star,80047,911,632,836819902,-,0,2498,274517,im,3,04AB,im_log_game_3,7,blast,16,0.0,19.25,911.35,614.75,156.51,55.29,105.89999999999999,55.4,40.7,48.05,55.4,68.74336331603219,901.7,617.7,12.3,2127.43
6773,activate_star,93367,1232,498,836833184,-,0,2532,287837,im,3,04AB,im_log_game_3,14,blast,17,0.0,45.62,1191.7,517.6,79.83,30.63,55.23,38.0,23.6,30.8,38.0,44.73209138862166,1188.3,515.3,9.38,1016.27
6786,activate_star,106328,1108,265,836846182,-,0,2835,300798,im,3,04AB,im_log_game_3,13,blast,18,0.0,55.79,1088.4,316.6,69.22,22.35,45.785,49.9,24.6,37.25,49.9,55.63425203954844,1092.3,311.6,8.01,936.7
6799,activate_star,120092,1332,142,836859941,-,0,2984,314562,im,3,04AB,im_log_game_3,17,holiday_home,19,0.0,33.6,1300.8,136.5,65.18,37.51,51.345,41.0,33.8,37.4,41.0,53.136051791603784,1311.1,147.6,17.15,1281.78
6822,activate_star,155018,721,182,836894861,-,0,3205,349488,im,3,04AB,im_log_game_3,3,blast,20,0.0,50.46,696.95,222.55,47.22,56.99,52.105000000000004,30.5,26.3,28.4,30.5,40.27331622799394,707.4,213.9,16.72,949.73
6840,activate_star,172086,1344,911,836911941,-,0,3339,366556,im,3,04AB,im_log_game_3,18,blast,21,0.0,61.76,1290.0,885.1,61.58,54.74,58.16,26.2,34.8,30.5,34.8,43.560073461829695,1285.4,888.7,11.83,885.61
6856,activate_star,189846,710,531,836929701,-,0,3367,384316,im,3,04AB,im_log_game_3,1,holiday_home,22,0.0,15.51,695.5,528.9,45.82,27.55,36.685,29.1,25.6,27.35,29.1,38.75783791699429,711.6,536.9,18.09,1778.8
6896,activate_star,5580,830,502,839415568,-,0,0,2276,qm,1,04AB,qm_log_game_1,5,blast,1,,,,,,,,,,,,,,,,
6912,activate_star,19739,576,596,839429728,-,0,159,16435,qm,1,04AB,qm_log_game_1,0,holiday_home,2,,,,,,,,,,,,,,,,
6929,activate_star,43743,895,692,839453728,-,0,383,40439,qm,1,04AB,qm_log_game_1,9,holiday_home,3,5.2,23.45,892.3,669.6,61.14,711.16,386.15,46.9,421.2,234.04999999999998,421.2,423.80307927149374,900.7,668.8,12.43,
6946,activate_star,66459,849,896,839476447,-,0,478,63155,qm,1,04AB,qm_log_game_1,6,blast,4,0.0,29.93,862.3,874.7,366.2,9.99,188.095,57.3,15.6,36.449999999999996,57.3,59.38560431619771,870.55,882.25,13.16,947.74
6959,activate_star,80459,1188,917,839490407,-,0,704,77155,qm,1,04AB,qm_log_game_1,16,holiday_home,5,0.0,33.46,1169.6,888.2,83.66,48.19,65.925,41.5,33.7,37.6,41.5,53.45970445110972,1171.6,877.05,12.83,1008.14
6978,activate_star,105660,1117,662,839515647,-,0,807,102356,qm,1,04AB,qm_log_game_1,14,holiday_home,6,0.0,29.19,1094.5,651.5,710.81,133.6,422.205,110.5,49.6,80.05,110.5,121.12146795675818,1097.3,654.0,15.24,1140.56
6997,activate_star,131004,1099,450,839540967,-,0,930,127700,qm,1,04AB,qm_log_game_1,13,blast,7,0.0,15.23,1095.5,441.4,112.31,29.38,70.845,36.7,21.6,29.150000000000002,36.7,42.584621637393944,1117.5,442.7,23.29,881.33
7010,activate_star,147700,897,253,839557687,-,0,1152,144396,qm,1,04AB,qm_log_game_1,10,blast,8,0.0,32.11,867.8,252.4,217.42,90.44,153.93,43.8,45.9,44.849999999999994,45.9,63.4448579476698,861.1,244.0,16.28,1032.31
7023,activate_star,163937,1360,247,839573927,-,0,1328,160633,qm,1,04AB,qm_log_game_1,19,blast,9,0.0,61.86,1302.6,223.6,37.26,42.39,39.825,29.3,27.6,28.450000000000003,29.3,40.252329125157466,1302.9,220.7,7.46,871.07
7036,activate_star,178296,654,185,839588287,-,0,1430,174992,qm,1,04AB,qm_log_game_1,1,blast,10,0.0,15.96,648.0,177.7,143.23,181.31,162.26999999999998,43.7,38.2,40.95,43.7,58.04248444027875,629.0,201.4,32.6,992.78
7051,activate_star,8426,880,487,839608567,-,0,1494,190681,qm,1,04AB,qm_log_game_1,7,blast,11,0.0,57.62,865.9,436.2,201.21,255.31,228.26,65.9,48.6,57.25,65.9,81.8826599470242,864.4,411.1,27.37,1137.89
7064,activate_star,22548,664,735,839622687,-,0,1554,204803,qm,1,04AB,qm_log_game_1,2,blast,12,0.0,69.78,655.9,665.9,43.63,35.89,39.760000000000005,31.9,25.0,28.45,31.9,40.52912532981683,646.1,693.3,29.12,996.14
7079,activate_star,36903,693,938,839637046,-,0,1623,219158,qm,1,04AB,qm_log_game_1,4,blast,13,0.0,41.66,656.4,919.3,35.35,123.7,79.525,22.8,65.1,43.949999999999996,65.1,68.97717013621245,662.2,880.5,39.42,945.47
7092,activate_star,50233,885,732,839650366,-,0,1747,232488,qm,1,04AB,qm_log_game_1,8,holiday_home,14,0.0,31.63,875.9,702.0,73.32,131.23,102.27499999999999,39.2,50.4,44.8,50.4,63.84982380555173,865.2,656.9,46.4,1051.44
7112,activate_star,79949,1089,912,839680086,-,0,1889,262204,qm,1,04AB,qm_log_game_1,12,holiday_home,15,0.0,61.02,1062.8,858.4,26.67,292.61,159.64000000000001,20.4,67.6,44.0,67.6,70.61104729431507,1056.2,839.8,22.52,1269.69
7131,activate_star,120061,1323,886,839720206,-,0,2059,302316,qm,1,04AB,qm_log_game_1,18,blast,16,0.0,83.2,1269.7,822.1,7.66,42.02,24.840000000000003,11.1,25.6,18.35,25.6,27.902867236182022,1268.7,813.8,9.19,835.47
7145,activate_star,134548,1174,641,839734686,-,0,2299,316803,qm,1,04AB,qm_log_game_1,15,holiday_home,17,0.0,34.29,1150.1,619.4,441.43,39.55,240.49,94.4,29.1,61.75,94.4,98.78345003086297,1153.0,621.8,6.92,1004.54
7149,activate_star,144555,1248,434,839744686,-,0,2299,326810,qm,1,04AB,qm_log_game_1,17,blast,18,0.0,69.53,1182.2,441.6,75.27,244.66,159.965,30.5,86.7,58.6,86.7,91.90832388853579,1190.0,448.7,17.79,4304.69
7164,activate_star,159948,1174,641,839760086,-,0,2495,342203,qm,1,04AB,qm_log_game_1,15,blast,19,0.0,47.11,1175.5,594.1,27.28,50.52,38.900000000000006,23.3,37.9,30.6,37.9,44.48932456219132,1178.3,591.2,7.98,1008.8
7177,activate_star,172905,680,357,839773046,-,0,2743,355160,qm,1,04AB,qm_log_game_1,3,holiday_home,20,0.0,36.17,653.0,335.4,308.14,30.17,169.155,62.8,23.9,43.349999999999994,62.8,67.19412176671408,671.5,332.2,19.35,1432.83
7194,activate_star,197065,1050,148,839797205,-,0,2848,379320,qm,1,04AB,qm_log_game_1,11,holiday_home,21,0.0,18.31,1039.55,140.4,29.86,58.0,43.93,25.0,31.7,28.35,31.7,40.37189616552584,1044.3,144.9,12.43,1070.74
7225,activate_star,8184,838,364,840360040,-,0,0,5492,qm,2,04AB,qm_log_game_2,7,blast,1,0.0,18.54,841.6,348.2,44.89,20.1,32.495000000000005,25.2,15.5,20.35,25.2,29.58530040408581,840.6,351.3,8.5,1233.86
7241,activate_star,24541,968,733,840376403,-,0,117,21849,qm,2,04AB,qm_log_game_2,10,blast,2,0.0,43.23,977.1,692.3,212.1,247.81,229.95499999999998,69.8,46.2,58.0,69.8,83.70471910233019,970.3,665.4,32.99,1242.21
7258,activate_star,48580,750,701,840400440,-,0,88,45888,qm,2,04AB,qm_log_game_2,4,holiday_home,3,0.0,22.64,733.0,688.5,18.67,108.05,63.36,22.5,38.1,30.3,38.1,44.2477118052448,721.8,684.2,12.71,1025.38
7280,activate_star,77022,1064,919,840428879,-,0,274,74330,qm,2,04AB,qm_log_game_2,13,blast,4,0.0,18.82,1057.0,902.4,15.38,40.65,28.015,16.1,22.3,19.200000000000003,22.3,27.504545078950134,1076.9,885.2,26.61,921.84
7295,activate_star,92662,1335,694,840444519,-,0,409,89970,qm,2,04AB,qm_log_game_2,19,blast,5,0.0,28.59,1318.7,672.1,25.96,53.82,39.89,19.0,24.9,21.95,24.9,31.32107916403903,1311.4,673.3,11.23,962.94
7308,activate_star,113781,1180,489,840465639,-,0,473,111089,qm,2,04AB,qm_log_game_2,14,holiday_home,6,0.0,28.63,1154.1,480.5,62.33,92.95,77.64,33.3,47.5,40.4,47.5,58.00982675374923,1156.0,455.8,25.22,1120.2
7329,activate_star,139421,1195,279,840491279,-,0,685,136729,qm,2,04AB,qm_log_game_2,15,blast,7,0.0,68.44,1126.8,285.1,332.73,258.77,295.75,55.6,61.7,58.650000000000006,61.7,83.05570419904944,1158.3,265.1,36.54,1083.41
7342,activate_star,153426,573,309,840505279,-,0,834,150734,qm,2,04AB,qm_log_game_2,0,holiday_home,8,0.0,34.9,552.0,284.0,473.64,137.56,305.6,102.2,66.3,84.25,102.2,121.82171399221076,560.6,273.8,16.81,1009.2
7359,activate_star,177345,593,550,840529199,-,0,1070,174653,qm,2,04AB,qm_log_game_2,1,blast,9,0.0,31.87,590.4,518.4,41.09,92.95,67.02000000000001,35.4,38.8,37.099999999999994,38.8,52.52237618387043,599.2,509.1,15.82,979.91
7374,activate_star,198181,794,931,840550039,-,0,1166,195489,qm,2,04AB,qm_log_game_2,6,blast,10,4.3,39.82,761.3,935.5,149.83,251.25,200.54000000000002,42.2,51.3,46.75,51.3,66.42687709052714,748.5,924.3,21.58,
7389,activate_star,6644,1016,685,840568559,-,0,1497,211028,qm,2,04AB,qm_log_game_2,11,holiday_home,11,0.0,9.33,1021.4,685.6,288.28,56.57,172.42499999999998,53.7,34.1,43.900000000000006,53.7,63.61210576611971,1018.8,687.4,11.88,1308.62
7393,activate_star,16651,773,616,840578559,-,0,1497,221035,qm,2,04AB,qm_log_game_2,5,blast,12,0.0,42.86,776.0,574.0,26.93,328.29,177.61,22.1,55.8,38.95,55.8,60.01708090202322,775.8,582.0,18.71,1201.59
7406,activate_star,31321,646,859,840593239,-,0,1794,235705,qm,2,04AB,qm_log_game_2,3,blast,13,0.0,42.13,630.7,820.0,24.74,536.85,280.795,18.3,75.3,46.8,75.3,77.491806018443,626.7,791.0,29.21,2421.69
7422,activate_star,49724,853,812,840611638,-,0,2007,254108,qm,2,04AB,qm_log_game_2,8,holiday_home,14,0.0,8.94,853.6,806.1,26.34,65.72,46.03,21.4,36.8,29.099999999999998,36.8,42.56994244769424,856.4,804.9,8.68,842.92
7446,activate_star,87623,1016,685,840649518,-,0,2193,292007,qm,2,04AB,qm_log_game_2,11,holiday_home,15,0.0,27.55,992.2,673.8,96.13,100.62,98.375,37.3,37.1,37.2,37.3,52.6089346024038,1010.6,667.7,25.75,863.66
7465,activate_star,120366,1255,578,840682278,-,0,2320,324750,qm,2,04AB,qm_log_game_2,17,blast,16,0.0,66.65,1227.4,518.0,27.73,58.86,43.295,18.7,25.6,22.15,25.6,31.702523558858847,1229.6,540.4,22.69,825.06
7478,activate_star,133680,1299,808,840695598,-,0,2580,338064,qm,2,04AB,qm_log_game_2,18,holiday_home,17,0.0,56.68,1274.2,754.8,45.74,91.57,68.655,25.5,36.9,31.2,36.9,44.85376238399628,1271.3,771.9,18.72,984.3
7499,activate_star,168405,1057,477,840730318,-,0,2825,372789,qm,2,04AB,qm_log_game_2,12,holiday_home,18,0.0,37.42,1023.7,462.6,391.7,253.82,322.76,125.0,117.7,121.35,125.0,171.6924284876884,1009.7,463.1,15.53,1256.71
7518,activate_star,197563,1200,274,840759477,-,0,2936,401947,qm,2,04AB,qm_log_game_2,16,blast,19,0.0,28.29,1172.9,273.2,190.86,101.4,146.13,55.6,56.6,56.1,56.6,79.34053188629377,1176.3,279.6,9.14,1093.29
7533,activate_star,211015,869,164,840772917,-,0,3111,415399,qm,2,04AB,qm_log_game_2,9,blast,20,0.0,40.32,838.3,187.4,42.07,164.99,103.53,25.8,59.3,42.55,59.3,64.66938997702081,859.2,196.8,25.54,1077.52
7546,activate_star,224763,617,358,840786677,-,0,3344,429147,qm,2,04AB,qm_log_game_2,2,blast,21,0.0,40.95,578.7,338.4,126.9,256.17,191.53500000000003,49.4,50.1,49.75,50.1,70.35886582371833,587.7,325.1,24.73,1281.09
