index,event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,gaze_path
12461,activate_star,414380,926,460,507496899,-,0,1833,411109,im,1,10AS,im_log_game_1,3,holiday_home,12,0.0,54.37,947.1,412.2,91.37,405.36,248.365,31.5,77.9,54.7,77.9,84.02773351697641,946.3,403.0,18.05,2356.73
12489,activate_star,4926,1023,561,508240694,-,0,2009,450300,im,1,10AS,im_log_game_2,5,holiday_home,1,,,,,,,,,,,,,,,,
12497,activate_star,26759,765,350,508262534,-,0,2009,472133,im,1,10AS,im_log_game_2,2,holiday_home,2,0.0,19.22,765.3,331.5,78.41,241.88,160.14499999999998,49.2,72.6,60.9,72.6,87.70062713572806,766.3,308.0,24.84,1437.46
12501,activate_star,38002,1250,144,508273774,-,0,2009,483376,im,1,10AS,im_log_game_2,7,holiday_home,3,0.0,31.84,1223.9,131.7,19.42,631.67,325.54499999999996,20.7,72.4,46.550000000000004,72.4,75.3010624095039,1213.2,127.0,15.7,1360.48
12505,activate_star,49881,863,161,508285654,-,0,2009,495255,im,1,10AS,im_log_game_2,3,blast,4,0.0,38.16,859.7,132.5,200.23,207.23,203.73,49.9,64.9,57.400000000000006,64.9,81.86586590270697,837.6,138.3,28.1,1597.65
12522,activate_star,68241,1023,561,508304014,-,0,2289,513615,im,1,10AS,im_log_game_2,5,blast,5,0.0,52.47,998.2,515.0,33.62,120.77,77.195,18.1,36.9,27.5,36.9,41.10012165432117,996.8,498.8,16.91,1560.11
12536,activate_star,82320,1250,144,508318094,-,0,2483,527694,im,1,10AS,im_log_game_2,7,holiday_home,6,0.0,24.3,1225.9,139.4,81.63,39.08,60.355,55.5,49.8,52.65,55.5,74.56735210532824,1221.4,147.2,10.9,934.65
12544,activate_star,106602,674,869,508342374,-,0,2483,551976,im,1,10AS,im_log_game_2,1,holiday_home,7,0.0,65.85,672.3,803.9,31.73,237.5,134.615,17.4,45.5,31.45,45.5,48.71355047622786,666.0,787.3,23.66,1254.49
12558,activate_star,132524,560,512,508368294,-,0,2483,577898,im,1,10AS,im_log_game_2,0,holiday_home,8,0.0,44.73,574.4,471.2,42.27,203.77,123.02000000000001,40.4,65.9,53.150000000000006,65.9,77.29793011458975,572.3,442.2,29.83,1667.96
12576,activate_star,172562,1269,660,508408334,-,0,2483,617936,im,1,10AS,im_log_game_2,9,blast,9,0.0,64.1,1234.0,605.8,64.05,90.68,77.36500000000001,39.1,34.8,36.95,39.1,52.343576492249746,1227.0,595.8,19.07,1125.12
12589,activate_star,186526,1177,342,508422294,-,0,2730,631900,im,1,10AS,im_log_game_2,6,holiday_home,10,5.105105105105105,35.9,1155.1,318.9,108.43,255.4,181.91500000000002,60.9,192.1,126.5,192.1,201.5222568353183,1146.1,310.0,16.91,
12607,activate_star,212093,765,350,508447854,-,0,2831,657467,im,1,10AS,im_log_game_2,2,holiday_home,11,0.0,20.57,767.6,329.6,6.04,77.75,41.895,13.2,35.0,24.1,35.0,37.4064165618681,757.2,307.8,24.17,1646.37
12613,activate_star,223805,674,869,508459574,-,0,2831,669179,im,1,10AS,im_log_game_2,1,blast,12,0.0,67.53,682.7,802.0,44.77,64.18,54.47500000000001,26.1,31.4,28.75,31.4,40.830993130219106,680.3,810.15,12.04,1066.18
12631,activate_star,239725,1250,144,508475494,-,0,3089,685099,im,1,10AS,im_log_game_2,7,blast,13,0.0,18.44,1238.3,136.3,41.46,528.49,284.975,22.5,118.0,70.25,118.0,120.12597554234472,1219.15,132.8,21.05,901.75
12644,activate_star,252643,765,350,508488413,-,0,3389,698017,im,1,10AS,im_log_game_2,2,holiday_home,14,0.0,10.98,758.5,341.8,23.88,55.7,39.79,20.3,26.0,23.15,26.0,32.98620923962012,751.6,325.1,18.8,1239.49
12654,activate_star,277000,919,846,508512773,-,0,3389,722374,im,1,10AS,im_log_game_2,4,holiday_home,15,0.0,57.39,905.6,792.3,210.55,15.69,113.12,62.1,17.6,39.85,62.1,64.54587515868074,894.9,773.2,23.69,1058.12
12658,activate_star,290566,765,350,508526333,-,0,3389,735940,im,1,10AS,im_log_game_2,2,blast,16,0.0,46.35,772.0,306.1,24.39,1207.53,615.96,23.9,150.3,87.10000000000001,150.3,152.18837012071586,762.9,301.1,11.2,1629.1
12671,activate_star,302893,560,512,508538653,-,0,3589,748267,im,1,10AS,im_log_game_2,0,blast,17,0.0,28.25,562.5,484.4,28.09,10.62,19.355,17.3,17.7,17.5,17.7,24.750353532828576,577.1,466.5,22.37,1334.56
12684,activate_star,316641,1256,890,508552413,-,0,3790,762015,im,1,10AS,im_log_game_2,8,holiday_home,18,0.0,75.77,1217.2,825.8,108.89,56.82,82.855,30.4,36.2,33.3,36.2,47.271555929543936,1208.6,827.8,13.46,1084.58
12688,activate_star,328162,919,846,508563933,-,0,3790,773536,im,1,10AS,im_log_game_2,4,holiday_home,19,0.0,51.59,910.9,796.7,41.7,496.07,268.885,26.8,129.4,78.10000000000001,129.4,132.14613123357037,893.8,782.9,21.04,1085.58
12694,activate_star,340398,1256,890,508576133,-,0,3790,785772,im,1,10AS,im_log_game_2,8,holiday_home,20,0.0,59.69,1225.7,839.7,101.47,223.81,162.64,37.2,54.3,45.75,54.3,65.82043755551918,1234.9,835.3,18.68,1394.43
12704,activate_star,370846,919,846,508606613,-,0,3790,816220,im,1,10AS,im_log_game_2,4,blast,21,0.0,66.57,916.9,781.2,234.63,70.44,152.535,55.5,27.5,41.5,55.5,61.9394865978077,936.1,768.6,28.89,1087.73
12722,activate_star,392322,1256,890,508628093,-,0,3933,837696,im,1,10AS,im_log_game_2,8,holiday_home,22,0.0,78.72,1215.1,821.8,15.53,218.88,117.205,18.5,56.4,37.45,56.4,59.35663400160087,1207.1,843.8,24.07,1069.97
12746,activate_star,7654,845,416,509149495,-,0,0,4301,im,2,10AS,im_log_game_3,7,blast,1,,,,,,,,,,,,,,,,
12759,activate_star,22370,866,639,509164215,-,0,288,19017,im,2,10AS,im_log_game_3,8,blast,2,,,,,,,,,,,,,,,,
12776,activate_star,39691,886,180,509181535,-,0,436,36338,im,2,10AS,im_log_game_3,10,blast,3,0.0,7.2,880.3,178.5,50.42,14.52,32.47,30.0,14.1,22.05,30.0,33.14830312399113,872.2,190.1,15.16,783.29
12791,activate_star,56257,1122,403,509198095,-,0,555,52904,im,2,10AS,im_log_game_3,15,blast,4,0.0,30.97,1091.3,397.9,130.18,25.7,77.94,43.0,17.8,30.4,43.0,46.53858614096479,1091.6,404.9,11.7,734.73
12806,activate_star,72611,1108,193,509214455,-,0,730,69258,im,2,10AS,im_log_game_3,14,blast,5,0.0,11.69,1097.1,193.3,11.8,5.79,8.795,13.3,12.4,12.850000000000001,13.3,18.183783984638623,1091.0,200.8,10.74,688.91
12823,activate_star,89374,593,629,509231215,-,0,944,86021,im,2,10AS,im_log_game_3,1,blast,6,0.0,10.52,587.9,635.3,24.52,36.37,30.445,24.2,27.1,25.65,27.1,36.33249234500711,588.1,625.0,13.35,857.5
12836,activate_star,104177,718,865,509245975,-,0,1015,100824,im,2,10AS,im_log_game_3,5,holiday_home,7,0.0,51.45,707.6,814.4,5.22,103.39,54.305,8.9,31.4,20.15,31.4,32.63694225873496,701.2,824.2,13.42,1257.19
12840,activate_star,115450,1149,798,509257295,-,0,1015,112097,im,2,10AS,im_log_game_3,16,blast,8,0.0,73.5,1106.4,740.7,79.59,27.88,53.735,32.8,21.6,27.2,32.8,39.27340066762745,1095.6,734.3,12.97,1052.9
12853,activate_star,130653,568,178,509272495,-,0,1010,127300,im,2,10AS,im_log_game_3,0,holiday_home,9,0.0,14.11,578.8,184.7,18.69,11.79,15.24,15.1,13.6,14.35,15.1,20.321663317750346,567.0,191.3,16.3,807.84
12857,activate_star,142772,718,865,509284615,-,0,1010,139419,im,2,10AS,im_log_game_3,5,holiday_home,10,0.0,34.21,705.1,833.7,11.1,57.27,34.185,10.6,33.6,22.1,33.6,35.232371478513905,700.4,816.8,17.75,904.95
12882,activate_star,173817,568,178,509315654,-,0,1174,170464,im,2,10AS,im_log_game_3,0,blast,11,0.0,21.19,568.0,198.7,26.19,6.35,16.27,20.9,11.3,16.1,20.9,23.759208741033444,566.7,191.8,9.48,817.53
12897,activate_star,187051,1067,606,509328894,-,0,1284,183698,im,2,10AS,im_log_game_3,13,blast,12,0.0,60.82,1023.7,567.3,77.73,39.33,58.53,26.7,24.4,25.549999999999997,26.7,36.16973873281365,1015.2,577.3,12.7,820.91
12912,activate_star,6499,657,534,509347254,-,0,1273,199350,im,2,10AS,im_log_game_3,3,holiday_home,13,0.0,37.11,644.3,499.6,27.97,22.52,25.244999999999997,19.0,17.3,18.15,19.0,25.696108654813862,636.0,505.9,10.42,870.98
12916,activate_star,19098,1010,327,509359854,-,0,1273,211949,im,2,10AS,im_log_game_3,12,blast,14,5.605605605605605,25.08,985.5,327.8,12.11,57.5,34.805,18.7,45.0,31.85,45.0,48.73079108736077,987.3,329.0,5.07,
12930,activate_star,34178,657,534,509374934,-,0,1598,227029,im,2,10AS,im_log_game_3,3,blast,15,0.0,21.62,644.7,526.1,37.94,93.89,65.91499999999999,28.7,41.6,35.15,41.6,50.53958844312051,635.4,529.9,10.3,898.72
12943,activate_star,48338,715,727,509389095,-,0,1759,241189,im,2,10AS,im_log_game_3,4,blast,16,6.306306306306306,14.76,707.85,717.7,164.07,539.03,351.54999999999995,59.7,303.1,181.4,303.1,308.92345330194667,708.4,719.6,6.33,
12956,activate_star,62740,1225,215,509403501,-,0,1895,255591,im,2,10AS,im_log_game_3,17,blast,17,4.8,31.88,1193.8,218.9,27.49,44.62,36.055,51.2,132.9,92.05000000000001,132.9,142.42138182169137,1187.8,219.2,6.53,
12972,activate_star,81258,837,147,509422014,-,0,1833,274109,im,2,10AS,im_log_game_3,6,holiday_home,18,0.0,32.7,809.6,164.5,9.21,6.35,7.78,10.2,11.3,10.75,11.3,15.222680447279973,809.9,168.0,4.85,760.27
