event_name,decision,subject,condition,res_timestamp,n_star,n_game,filename
outer_band_1,1,01TG,im,418644540,8,1,im_log_game_1
outer_band_2,1,01TG,im,418644540,8,1,im_log_game_1
outer_band_3,0,01TG,im,418644540,8,1,im_log_game_1
outer_band_4,0,01TG,im,418644540,8,1,im_log_game_1
inner_band_1,0,01TG,im,418651811,18,1,im_log_game_1
inner_band_2,0,01TG,im,418652849,18,1,im_log_game_1
inner_band_3,1,01TG,im,418653802,18,1,im_log_game_1
inner_band_4,1,01TG,im,418654829,18,1,im_log_game_1
inner_band_5,1,01TG,im,418655858,18,1,im_log_game_1
inner_band_6,1,01TG,im,418656813,18,1,im_log_game_1
inner_band_7,1,01TG,im,418657844,18,1,im_log_game_1
inner_band_8,1,01TG,im,418658814,18,1,im_log_game_1
outer_band_1,0,01TG,im,418659845,18,1,im_log_game_1
outer_band_2,0,01TG,im,418659845,18,1,im_log_game_1
outer_band_3,0,01TG,im,418659845,18,1,im_log_game_1
outer_band_4,0,01TG,im,418659845,18,1,im_log_game_1
inner_band_1,1,01TG,im,418665497,6,1,im_log_game_1
inner_band_2,1,01TG,im,418666540,6,1,im_log_game_1
inner_band_3,0,01TG,im,418667560,6,1,im_log_game_1
inner_band_4,0,01TG,im,418668497,6,1,im_log_game_1
inner_band_5,0,01TG,im,418669536,6,1,im_log_game_1
inner_band_6,0,01TG,im,418670561,6,1,im_log_game_1
inner_band_7,1,01TG,im,418671592,6,1,im_log_game_1
outer_band_1,0,01TG,im,418672544,6,1,im_log_game_1
outer_band_2,0,01TG,im,418672544,6,1,im_log_game_1
outer_band_3,0,01TG,im,418672544,6,1,im_log_game_1
outer_band_4,0,01TG,im,418672544,6,1,im_log_game_1
inner_band_1,0,01TG,im,418678544,14,1,im_log_game_1
inner_band_2,0,01TG,im,418679576,14,1,im_log_game_1
inner_band_3,1,01TG,im,418680549,14,1,im_log_game_1
inner_band_4,1,01TG,im,418681578,14,1,im_log_game_1
inner_band_5,1,01TG,im,418682515,14,1,im_log_game_1
inner_band_6,1,01TG,im,418683545,14,1,im_log_game_1
inner_band_7,1,01TG,im,418684579,14,1,im_log_game_1
outer_band_1,1,01TG,im,418685517,14,1,im_log_game_1
outer_band_2,1,01TG,im,418685517,14,1,im_log_game_1
outer_band_3,0,01TG,im,418685517,14,1,im_log_game_1
outer_band_4,0,01TG,im,418685517,14,1,im_log_game_1
inner_band_1,1,01TG,im,419141953,9,2,im_log_game_2
inner_band_2,1,01TG,im,419142984,9,2,im_log_game_2
inner_band_3,1,01TG,im,419143924,9,2,im_log_game_2
inner_band_4,1,01TG,im,419144960,9,2,im_log_game_2
inner_band_5,1,01TG,im,419145983,9,2,im_log_game_2
inner_band_6,1,01TG,im,419146930,9,2,im_log_game_2
inner_band_7,1,01TG,im,419147974,9,2,im_log_game_2
inner_band_8,1,01TG,im,419148944,9,2,im_log_game_2
outer_band_1,1,01TG,im,419149976,9,2,im_log_game_2
outer_band_2,1,01TG,im,419149976,9,2,im_log_game_2
outer_band_3,0,01TG,im,419149976,9,2,im_log_game_2
outer_band_4,0,01TG,im,419149976,9,2,im_log_game_2
inner_band_1,0,01TG,im,419156973,4,2,im_log_game_2
inner_band_2,1,01TG,im,419158022,4,2,im_log_game_2
inner_band_3,1,01TG,im,419158962,4,2,im_log_game_2
inner_band_4,1,01TG,im,419159984,4,2,im_log_game_2
inner_band_5,1,01TG,im,419160952,4,2,im_log_game_2
inner_band_6,1,01TG,im,419161984,4,2,im_log_game_2
inner_band_7,1,01TG,im,419163016,4,2,im_log_game_2
inner_band_8,1,01TG,im,419163863,4,2,im_log_game_2
outer_band_1,1,01TG,im,419164983,4,2,im_log_game_2
outer_band_2,1,01TG,im,419164983,4,2,im_log_game_2
outer_band_3,0,01TG,im,419164983,4,2,im_log_game_2
outer_band_4,0,01TG,im,419164983,4,2,im_log_game_2
inner_band_1,0,01TG,im,419171295,12,2,im_log_game_2
inner_band_2,0,01TG,im,419172328,12,2,im_log_game_2
inner_band_3,1,01TG,im,419173292,12,2,im_log_game_2
inner_band_4,1,01TG,im,419174309,12,2,im_log_game_2
inner_band_5,1,01TG,im,419175249,12,2,im_log_game_2
inner_band_6,1,01TG,im,419176372,12,2,im_log_game_2
inner_band_7,1,01TG,im,419177312,12,2,im_log_game_2
outer_band_1,1,01TG,im,419178249,12,2,im_log_game_2
outer_band_2,1,01TG,im,419178249,12,2,im_log_game_2
outer_band_3,0,01TG,im,419178249,12,2,im_log_game_2
outer_band_4,0,01TG,im,419178249,12,2,im_log_game_2
inner_band_1,0,01TG,im,419184718,15,2,im_log_game_2
inner_band_2,0,01TG,im,419185682,15,2,im_log_game_2
inner_band_3,1,01TG,im,419186702,15,2,im_log_game_2
inner_band_4,1,01TG,im,419187663,15,2,im_log_game_2
inner_band_5,1,01TG,im,419188697,15,2,im_log_game_2
inner_band_6,0,01TG,im,419189724,15,2,im_log_game_2
inner_band_7,0,01TG,im,419190664,15,2,im_log_game_2
inner_band_8,0,01TG,im,419191699,15,2,im_log_game_2
outer_band_1,0,01TG,im,419192736,15,2,im_log_game_2
outer_band_2,0,01TG,im,419192736,15,2,im_log_game_2
outer_band_3,0,01TG,im,419192736,15,2,im_log_game_2
outer_band_4,0,01TG,im,419192736,15,2,im_log_game_2
inner_band_1,1,01TG,im,419198472,10,2,im_log_game_2
inner_band_2,1,01TG,im,419199500,10,2,im_log_game_2
inner_band_3,1,01TG,im,419200455,10,2,im_log_game_2
inner_band_4,1,01TG,im,419201500,10,2,im_log_game_2
inner_band_5,1,01TG,im,419202467,10,2,im_log_game_2
inner_band_6,1,01TG,im,419203499,10,2,im_log_game_2
inner_band_7,1,01TG,im,419204343,10,2,im_log_game_2
